,,,,,,
,#,Dashboard Section,VP Question,Answer Type,Example Answer,Dashboard Entry Name
,1,Company Overview,Complete: “We sell ___ to ___ so they can ___.”,Text,We sell AI sales agents to B2B companies so they can increase close rates,product_truth_anchor
,2,Company Overview,What industry do you operate in?,Options,B2B SaaS,industry
,3,Company Overview,What geographic markets do you sell into?,Options + text,North America,sales_geography
,4,Company Overview,Paste your company home page,Text,2–3,product_count
,29,Assets,Paste any product pages.,Text upload,Product pages pasted,product_pages
,30,Assets,"Do you have sales materials (pitch, docs)?",File upload,Pitch deck PDF,sales_assets
,8,Sales Team,Upload any documents with information about your company and its products,Text,Yes,founder_involved_sales
,12,Sales Channels,Which communication channel is still experimental?,Text,LinkedIn outbound,experimental_channel
,17,Customers,"What is the typical buyer for this product (industry, demographic)",Editable Options,Mid-market,secondary_segments
,5,Company Overview,Which product is your current executive priority?,Text,Hello Sales Core,executive_focus_product
,6,Sales Team,How many sales reps do you currently have?,Numeric,6,sales_team_size
,7,Sales Team,How many service customer reps do you currently have,Numeric,"SDR, AE, Closer",sales_roles
,9,Sales Team,Are you currently hiring sales roles?,Options,Planning to hire,sales_hiring_status
,10,Sales Channels,"Is this a valid product list, please and princing",Multi-choice,1. Email 2. Phone,sales_channels
,11,Sales Channels,Rank your communication channels for sales by importance,Editable ranking,Inbound → Outbound,channel_priority
,13,Sales Process,Average sales cycle length (lead → close)?,Options,30–45 days,avg_sales_cycle
,14,Sales Process,Do you offer consultative services?,Options,Consultative,sales_motion
,15,Sales Process,What is the average customer value? (typicial deal size),Options,$3k–$10k,deal_size_range
,16,Customers,Which customer segment generates most revenue?,Options,SMB,primary_customer_segment
,18,Customers,Typical customer company size?,Options,10–100 employees,icp_company_size
,19,Performance,How many deals closed last month?,Numeric,14,deals_last_month
,20,Performance,How many deals closed in last 90 days?,Numeric,38,deals_last_90_days
,21,Performance,Sales revenue in the last 30 days,Numeric,"$65,000",monthly_revenue_range
,22,Performance,Sales revenue in the last 90 days,Numeric,"$4,500",avg_revenue_per_deal
,23,Pricing,What is your main pricing model?,Options,"OTPs (One-Time-Payments), Subscription",pricing_model
,24,Pricing,Are you open to offer specific discounts,Multi-choice (Yes/No),Occasionally,discount_frequency
,25,Tools,What CRM do you use?,Text,HubSpot,crm_tool
,26,Tools,What communication tools for customer service,Editable bullets,"Gmail, Zoom",comms_tools
,27,Tools,What proposal/contract tool do you use?,Options,PandaDoc,proposal_tool
,28,Assets,Do you have a website homepage?,Text upload,Homepage pasted,homepage_content
,31,Management Signals,What is your biggest sales constraint right now?,Text,Inconsistent messaging,primary_sales_constraint
,32,Management Signals,What is your main focus this quarter?,Text,Improve close rate,quarterly_sales_focus
,33,Management Signals,Confidence in current sales process (1–10)?,Numeric scale,3,sales_process_confidence
,,,,,,
,,,,,,
,#,Product Field,VP Question,Answer Type,Example Answer,Dashboard Entry Name
,34,Product ID,Internal product code,Text,HS-CORE-001,product_id
,35,Product Name,Product names,Text,Hello Sales Core,product_name
,36,Product Status,Is this product active?,Options,Active,product_status
,37,Product Category,Product category,Options + text,SaaS – Sales Enablement,product_category
,38,Product Description,Describe this product in 2–3 sentences,Text,AI sales enablement platform capturing VP sales knowledge,product_description
,39,Target Customer,Who is this product for?,Options + text,SMB B2B companies,product_target_customer
,40,Primary Use Case,Main problem this product solves,Text,Improve rep consistency and close rate,product_use_case
,41,Pricing Model,How is this product priced?,Options,Subscription,product_pricing_model
,42,List Price,Standard list price,Numeric,$299 / month,product_list_price
,43,Billing Frequency,Billing frequency,Options,Monthly,product_billing_frequency
,44,Avg Selling Price,Average price actually sold,Numeric,$249 / month,product_asp
,45,Discount Range,Typical discount range,Options,10–15%,product_discount_range
,46,Cost to Deliver,Estimated cost per unit,Numeric,$40 / month,product_cost
,47,Gross Margin,Estimated gross margin (%),Numeric,84%,product_margin
,48,Sales Complexity,How hard is this product to sell?,Options,Moderate,product_sales_complexity
,49,Product Sales Cycle,Typical sales cycle for this product,Options,30–45 days,product_sales_cycle
,50,Deal Size,Typical contract value,Options,$3k–$6k,product_deal_size
,51,Most Sold Product,Is this currently the most sold product?,Options,Yes,product_most_sold
,52,Executive Priority,Is leadership pushing this product?,Options,Yes,product_exec_priority
,53,Strategic Role,Role of this product in portfolio,Options,Core growth product,product_strategy_role
,54,Upsell Potential,Does this product enable upsells?,Options + text,Yes – Enterprise tier,product_upsell
,55,Replacement Alternative,What does this product replace?,Text,Manual playbooks,product_replacement
,56,Revenue Contribution,% of total revenue,Numeric,65%,product_revenue_share
,57,Internal Notes,Any internal notes or nuances,Text,Easier to sell inbound,product_internal_notes
